BKCLASS,CB,CERT,CITY,EDEPDOM,EDEPFOR,EFFDATE,EFREPP,EINTEXP,ELNATR,EOTHINT,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAMEFULL,NAMEHCR,NIM,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,57591,SANTA CRUZ,22437.0,0.0,2025-04-01,4.0,22849.0,5492.0,408.0,2004-02-03,14,14,12,SAN FRANCISCO,57591_20250930,DIF,2004-02-03,0,WEST COAST COMMUNITY BANK,WEST COAST COMMUNITY BCORP,101502.0,4,10,0,0,FDIC,2025-09-30,5851711.0,4,CA,0,0,95060
NM,0.0,57598,DELAND,10832.0,0.0,2022-08-31,1.0,10915.0,2084.0,82.0,2003-10-24,5,9,6,TAMPA,57598_20250930,DIF,2003-10-24,0,MAINSTREET COMMUNITY BANK OF FLORIDA,NORTHSTAR FINANCIAL GROUP INC,22020.0,5,9,0,0,FDIC,2025-09-30,2958990.0,4,FL,0,0,32720
N,1.0,57603,FOLEY,16456.0,0.0,2022-08-31,0.0,16618.0,2070.0,162.0,2003-07-01,11,11,9,MINNEAPOLIS,57603_20250930,DIF,2003-07-01,0,FALCON NATIONAL BANK,CENTRA VENTURES INC,28482.0,3,6,0,0,OCC,2025-09-30,3184219.0,4,MN,0,0,56329
NM,0.0,57607,DENVER,58901.0,0.0,2022-08-31,0.0,60873.0,4110.0,1972.0,2004-03-17,13,13,10,DENVER,57607_20250930,DIF,2004-03-17,0,FIRST WESTERN TRUST BANK,FIRST WESTERN FINANCIAL INC,56842.0,4,15,0,0,FDIC,2025-09-30,3189906.0,4,CO,0,1,80202
NM,1.0,57610,EUREKA,3621.0,0.0,2022-08-31,0.0,3704.0,-74.0,83.0,2004-03-01,14,14,12,SACRAMENTO,57610_20250930,DIF,2004-03-01,0,REDWOOD CAPITAL BANK,REDWOOD CAPITAL BCORP,14977.0,4,4,0,0,FDIC,2025-09-30,3552032.0,4,CA,0,0,95501
NM,1.0,57614,POTOMAC,180126.0,0.0,2022-08-31,12.0,181881.0,17372.0,1743.0,2003-10-17,2,2,5,BALTIMORE,57614_20250930,DIF,2003-10-17,0,FORBRIGHT BANK,FORBRIGHT INC,201790.0,1,4,0,0,FDIC,2025-09-30,3391129.0,4,MD,0,0,20854
NM,1.0,57624,CLARION,4386.0,0.0,2022-08-31,0.0,4471.0,70.0,85.0,2004-01-07,2,2,4,WEXFORD,57624_20250930,DIF,2004-01-07,0,CLARION COUNTY COMMUNITY BANK,CCCB BCORP INC,5719.0,1,5,0,0,FDIC,2025-09-30,5493876.0,4,PA,0,0,16214
NM,1.0,57626,SAGINAW,4231.0,0.0,2022-08-31,0.0,4466.0,200.0,235.0,2004-04-12,9,9,7,DETROIT,57626_20250930,DIF,2004-04-12,0,1ST STATE BANK,1ST STATE FINANCIAL LTD,13647.0,3,5,0,0,FDIC,2025-09-30,3223293.0,4,MI,0,0,48604
NM,1.0,57632,MCMINNVILLE,3521.0,0.0,2022-08-31,0.0,3521.0,45.0,0.0,2003-11-24,13,13,6,NASHVILLE,57632_20250930,DIF,2003-11-24,0,HOMELAND COMMUNITY BANK,HOMELAND COMMUNITY BCORP INC,5429.0,5,4,0,0,FDIC,2025-09-30,5760756.0,4,TN,0,0,37110
SI,1.0,57633,MOUNTLAKE TERRAC,42441.0,0.0,2023-02-27,1.0,48225.0,5922.0,5783.0,2004-04-01,14,14,12,SEATTLE,57633_20250930,DIF,2004-04-01,0,1ST SECURITY BANK OF WASHINGTON,FS BCORP INC,98238.0,4,22,0,0,FDIC,2025-09-30,4347208.0,4,WA,0,0,98043
NM,1.0,57640,JASPER,863.0,0.0,2022-08-31,0.0,876.0,90.0,13.0,2004-03-29,5,5,6,SHELBY,57640_20250930,DIF,2004-03-29,0,BANK OF WALKER COUNTY,RELATIONS BANCSHARES INC,3508.0,5,2,0,0,FDIC,2025-09-30,3569049.0,4,AL,1,0,35501
NM,1.0,57644,MENDOTA HEIGHTS,4616.0,0.0,2022-08-31,0.0,4616.0,-185.0,0.0,2004-01-20,11,11,9,MINNEAPOLIS,57644_20250930,DIF,2004-01-20,0,GATEWAY BANK,GATEWAY BCORP INC,7420.0,3,2,0,0,FDIC,2025-09-30,3223396.0,4,MN,1,0,55118
NM,1.0,57656,GREENEVILLE,2665.0,0.0,2022-08-31,0.0,2949.0,133.0,284.0,2003-12-03,13,13,6,KNOXVILLE,57656_20250930,DIF,2003-12-03,0,HERITAGE COMMUNITY BANK,Unknown,4940.0,5,4,0,0,FDIC,2025-09-30,0.0,4,TN,0,0,37745
SM,1.0,57665,DALLAS,231063.0,0.0,2022-12-31,0.0,231206.0,22550.0,143.0,2004-01-23,13,13,11,DALLAS,57665_20250930,DIF,2004-01-23,0,VERITEX COMMUNITY BANK,VERITEX HOLDINGS INC,297945.0,5,34,0,0,FED,2025-09-30,4105266.0,4,TX,0,0,75225
SM,1.0,57672,STATEN ISLAND,9328.0,0.0,2022-08-31,0.0,10779.0,-28.0,1451.0,2004-06-28,2,2,2,NEW YORK CITY,57672_20250930,DIF,2004-06-28,0,EMPIRE STATE BANK,ES BANCSHARES INC,12937.0,1,7,0,0,FED,2025-09-30,3439610.0,4,NY,0,0,10314
