CERT,Capital_Ratio,Net_Interest_Margin,Texas_Ratio,Charge_Off_Ratio,Risk_Cluster
11569,0.10420757908654314,0.02268162123113417,0.05016972019490911,0.0,Cluster 1
11570,0.13840539786833173,0.02548615503907605,0.0,0.0,Cluster 1
11578,0.11299428783701343,0.029086015808876684,0.10012491440945617,0.0,Cluster 1
11580,0.2206486642883746,0.030478664626958012,0.0007532956685499058,0.0,Cluster 1
11582,0.12382924899977454,0.022136794922255638,0.03789538651442679,0.0,Cluster 1
11595,0.10193443394127406,0.02521184689810371,0.004334268787028375,0.0,Cluster 1
11601,0.09812247490102288,0.017805748104908994,0.066065342376149,0.0,Cluster 1
11608,0.09770786652288367,0.01922774753599418,0.031149491122174737,0.0,Cluster 1
11623,0.09970277554129564,0.022636547278696743,0.029726429806216075,0.0,Cluster 1
1163,0.08674897119341564,0.022871994801819364,0.0,0.0,Cluster 1
1164,0.09632977697015237,0.027003057986738074,0.036043087209148075,0.0,Cluster 1
1165,0.14998925732292487,0.0268280455489508,0.00023874325550303204,0.0,Cluster 1
11666,0.10249993985434441,0.02245122760147145,0.01037216281389624,0.0,Cluster 1
11667,0.16722753778476548,0.021908971963623246,0.022731663339558245,0.0,Cluster 1
11669,0.0873057640639282,0.02255891323281845,0.18274111675126903,0.0,Cluster 1
11670,0.10592288307702123,0.025185810032501248,0.026026086316395296,0.0,Cluster 1
11674,0.11385335115524155,0.026156037171408568,0.016212438853948286,0.0,Cluster 1
1167,0.12681631737027327,0.01041442835245749,0.0296709089539875,0.0,Cluster 1
11680,0.13599897428383032,0.02490414438176179,0.05135802469135802,0.0,Cluster 1
11681,0.11440514568647715,0.023507272755317672,0.06835647836052312,0.0,Cluster 1
11682,0.12933472105810945,0.017159278260308924,0.0011394388263780088,0.0,Cluster 1
11686,0.1189079438744063,0.026387730684166638,0.09001097694840834,0.0,Cluster 1
11699,0.1155060246389925,0.02819686628699636,0.05061675882603148,0.0,Cluster 1
1169,0.11971596663851197,0.026333783077198716,0.05009010109648453,0.0,Cluster 1
11702,0.1012220428867881,0.02568540243519617,0.023520048302549605,0.0,Cluster 1
11706,0.10429741106810787,0.033259833777928544,0.09861028976936724,0.0,Cluster 1
11708,0.14286083636645686,0.02478016437758007,0.01536295998391313,0.0,Cluster 1
11711,0.11569028957877311,0.02419171354375064,0.0,0.0,Cluster 1
11715,0.09317580872011252,0.025654008438818564,0.24441492573360704,0.0,Cluster 1
11716,0.1252800484408114,0.022161671207992735,0.049782503624939585,0.0,Cluster 1
11719,0.12920262579260924,0.031262478105084944,0.005686500741717488,0.0,Cluster 1
11722,0.11700457796934156,0.023710291742277703,0.0251509544215037,0.0,Cluster 1
11729,0.09952758224462405,0.020358380888927514,0.11810718053820686,0.0,Cluster 1
11731,0.138162274105668,0.03217376297428565,0.04514632405424697,0.0,Cluster 1
11732,0.10643248136585531,0.02302088885504708,0.17404610492845787,0.0,Cluster 1
11734,0.08942591368553418,0.022234761160102534,0.04463674058049396,0.0,Cluster 1
11739,0.094375169778915,0.022057384543035487,0.011559888579387187,0.0,Cluster 1
11741,0.0923834153666472,0.021212563610578127,0.02402022756005057,0.0,Cluster 1
11746,0.08189384239320219,0.02353043883133512,0.04676284556890058,0.0,Cluster 1
11747,0.1369775799134134,0.024424406485507588,0.07626097435014632,0.0,Cluster 1
11750,0.18223057844627571,0.01943355468437475,0.046143039030601046,0.0,Cluster 1
11759,0.1980424907006205,0.027506798027966725,0.08535691003911343,0.0,Cluster 1
11763,0.0873955779962087,0.02509128244332488,0.03961755581549102,0.0,Cluster 1
11764,0.10716088418205541,0.025085475376424988,0.02292925702097405,0.0,Cluster 1
11767,0.09871955443614058,0.021872175656394658,0.03829352170276048,0.0,Cluster 1
11771,0.09192002129343349,0.01889673397704777,0.013011020263064344,0.0,Cluster 1
11777,0.098352000707628,0.024200325066616544,0.04336584131980552,0.0,Cluster 1
11778,0.09996094386913541,0.020874174797040835,0.004893407176997193,0.0,Cluster 1
11782,0.13004249423413225,0.023701306930023907,0.005619437406613395,0.0,Cluster 1
11785,0.09663987304653811,0.03165211991582433,0.18227251633170313,0.0,Cluster 1
11788,0.1120818653883513,0.034196336219343794,0.04426851548226917,0.0,Cluster 1
11792,0.1061796293476411,0.032510457627574096,0.04357179011304201,0.0,Cluster 1
11807,0.09823760554668104,0.024074422400086844,0.012212198862608,0.0,Cluster 1
11810,0.08382592078244253,0.02465311160963335,0.15235937555311693,0.0,Cluster 1
11813,0.09269855429805351,0.021864988242260776,0.07592226023784839,0.0,Cluster 1
11817,0.16976771746859445,0.027988464881093467,0.034904013961605584,0.0,Cluster 1
11821,0.10045628398735795,0.027761888820646917,0.004067173970086591,0.0,Cluster 1
11823,0.10187349272039778,0.026814690207520767,0.0009863734336755196,0.0,Cluster 1
1184,0.09677474627878406,0.02920942473865387,0.0,0.0,Cluster 1
11860,0.09624466186140046,0.02313645299048738,0.0008686465547599483,0.0,Cluster 1
11862,0.09525613865876693,0.025949719547831877,0.0,0.0,Cluster 1
11868,0.09258751745744986,0.01987902014650007,0.010261267661220302,0.0,Cluster 1
11891,0.1984921039225675,0.018604177279673968,0.16599938404681244,0.0,Cluster 1
11903,0.09486322630070401,0.03388852932500319,0.005430242272347535,0.0,Cluster 1
11904,0.1548546016631123,0.02190480913885169,0.0,0.0,Cluster 1
11905,0.11705896160986748,0.029544824054117496,0.04853705222860268,0.0,Cluster 1
11907,0.1364131994261119,0.027963452389941856,0.001771361512742732,0.0,Cluster 1
11916,0.1721469434640992,0.03191433084195491,0.01826243469862593,0.0,Cluster 1
11922,0.09141529373888943,0.031077392533699136,0.07300790102284559,0.0,Cluster 1
11932,0.07169715258515992,0.021749391430707955,0.005695687550854353,0.0,Cluster 1
11934,0.10404543455036762,0.024222333940803118,0.0005737841061802588,0.0,Cluster 1
11935,0.10551458189111951,0.022635361012005136,0.0008761784600287387,0.0,Cluster 1
11952,0.07584675737629863,0.02592248810729618,0.07892669615909373,0.0,Cluster 1
11953,0.11298882939073954,0.028596865065045555,0.09774576310697718,0.0,Cluster 1
11971,0.09397501409522258,0.020919517977352545,0.022383154242498853,0.0,Cluster 1
1198,0.11516978548448509,0.03404093295560531,0.0,0.0,Cluster 1
12010,0.09876433868730208,0.02369217725826022,0.03882860776417263,0.0,Cluster 1
12079,0.11547292757322196,0.03007188054391384,0.04362022772940388,0.0,Cluster 1
